,S&P 500,FTSE 100,Nikkei 225,Hang Seng,NIFTY 50
1990-09-30,-0.2181956826478375,-0.19189835128449229,0.27491667052988955,-0.09200130860501599,0.22717867200746644
1990-10-31,-4.146062173946296,-1.4648467650643013,4.836164877182405,-1.4262196115738988,2.2009636734020788
1990-11-30,-27.58963615282608,-6.522538456889382,12.289876087882721,5.2296881752014635,16.59261034663126
1990-12-31,-28.311577357808204,-6.616644051392797,13.977426592846221,5.3725394891918725,15.57825532716286
1991-01-31,-28.25600126553007,-5.930267840335464,13.751156849627424,4.391068921495986,16.044043334742184
1991-02-28,-27.113230918209585,-8.300206143948827,9.307344551964693,10.379077818200965,15.727014691992757
1991-03-31,-27.889596048089192,-8.81104615275813,9.072895342953966,10.254040360735292,17.373706497158082
1991-04-30,-23.794295550070927,-8.596015273975102,9.154098835566238,8.560339842399951,14.675872146079838
1991-05-31,-22.092562451176065,-7.9871871990423635,10.540616355273592,6.22145169753281,13.317681597412014
1991-06-30,-20.0837982672287,-6.089072867874492,9.368300998169495,1.9977844977928996,14.806785639140816
1991-07-31,-19.422006679950396,-5.642400897126109,4.891503008788156,0.8771751842195954,19.295729384068714
1991-08-31,-17.896153099541444,-4.373327917503801,5.478174420980157,3.1245404358316122,13.666766160233456
1991-09-30,-18.623451385382246,-4.912708651125918,6.096967085915317,3.2984063594264548,14.140786591166421
1991-10-31,-18.146347386315043,-5.417587627914635,4.914131483519856,4.340436805411805,14.309366725298034
1991-11-30,-13.289748221410502,-0.9052313583487503,1.4317905381361804,2.32856028510178,10.434628756521303
1991-12-31,-13.045073051331961,-3.254842016006286,-1.4762384564812052,7.442063065548432,10.334090458271007
1992-01-31,-12.287146031125992,-3.4825514287879926,-1.4824098457683057,6.797098603137297,10.45500870254502
1992-02-29,-11.856664336513152,-3.534997026889819,-1.3538589490064474,7.394969576973775,9.350550735435647
1992-03-31,-15.54810400403439,-7.306068743594807,-1.6674990976146553,2.5387023079459077,21.982969537297947
1992-04-30,-5.291058800273895,3.9889856524621763,-7.083224297589883,4.3061113024213675,4.079186142980262
1992-05-31,-9.22221041653576,3.5588045736431937,-7.292246190368999,5.00956485819728,7.946087175064264
1992-06-30,-3.192137113602797,6.341775639900241,-2.579384086538038,-0.3273502845191558,-0.242904155240252
1992-07-31,-2.948837533481104,5.577910697220354,-2.8928034034276457,-0.4423804358443242,0.7061106755327007
1992-08-31,-3.0745450894837276,5.955714543553476,-5.393504871288812,0.30469939053536876,2.2076360266837014
1992-09-30,-2.5186364275510336,2.405678817664935,-3.6303716133246695,0.21480250397334544,3.528526719237446
1992-10-31,-2.9934351273482207,3.344299541437664,-3.9286572562300606,-0.34435945264488055,3.9221522947855085
1992-11-30,-2.5953557504004934,3.1375420987136877,-4.696261576032777,-0.6687840551021651,4.8228592828217565
1992-12-31,-2.8988607135998485,2.3805392595520374,-3.2687109575644797,-1.2520479674483767,5.0390803790606995
1993-01-31,-2.6527220164854413,2.0852115672652687,-3.098434682875016,-1.395210289449988,5.0611554215451715
1993-02-28,-3.0523531914751523,2.051222597536757,-3.1914712728746366,-0.7966348799799867,4.989236746793024
1993-03-31,-3.0043942815328535,1.7204430769346644,-2.2264573179439324,-2.0835772838438196,5.593985806385948
1993-04-30,-4.041844632852001,1.2861567838720376,-4.608017189972845,0.6589130306819282,6.704792008270877
1993-05-31,-4.317974929541869,1.1417714511934065,-4.804364943228055,1.7113720347426522,6.269196386833876
1993-06-30,-3.906869103844457,0.5734942547324628,-4.68173735301095,1.7501366745712676,6.264975527551675
1993-07-31,-4.0348080338225785,0.47256494545757377,-4.907592864355415,2.1221561595784024,6.347679793142014
1993-08-31,-3.739009673593749,0.5675366119728693,-4.373615367934981,0.8654941805779846,6.679594248977904
1993-09-30,-2.9458204283239304,1.4112779309658734,-4.829479072871258,0.2628719594235598,6.101149610805789
1993-10-31,-3.9198689493237033,1.9190860455735148,-5.492296037749599,1.4443480245400107,6.048730916959787
1993-11-30,-0.46929043083385835,0.7000165541740557,-4.394707874668335,0.3260979855045463,3.837883765823557
1993-12-31,-2.7204039598713408,1.839237039295405,-3.713758932346213,0.02324004429938853,4.57168580862275
1994-01-31,-2.257000899927988,1.960039853124428,-1.397089424060539,-2.9328061746602394,4.626856645524312
1994-02-28,-2.5688221057322025,3.627681776302772,-0.6095468528156776,-2.463449929189675,2.014137111434822
1994-03-31,-4.871824356707485,4.4299505798732355,-2.3363138173996933,1.2669334934461887,1.5112541007877618
1994-04-30,-3.7987514187826648,4.818817346513349,-2.460639453227211,-0.07751950490617787,1.5180930304026785
1994-05-31,-3.0077756892830863,2.301961495201887,-1.9767380040869096,0.7816578078205012,1.900894390347596
1994-06-30,-2.5619535952430965,2.4383274448968635,-1.7347833077677741,0.046567519482387354,1.8118419386315865
