,Average TO,Average FROM,Average NET
S&P 500,62.95737988955797,56.78216149173733,6.175218397820626
FTSE 100,57.808689037469996,54.72812093788342,3.0805680995865696
Hang Seng,49.92544628945913,48.99461256604454,0.9308337234146029
Nikkei 225,40.2895008553043,44.95014988347447,-4.66064902817018
NIFTY 50,33.59844564761442,39.12441684026603,-5.525971192651616
