,S&P 500,FTSE 100,Nikkei 225,Hang Seng,NIFTY 50
1990-09-30,5.374479485106532,6.2563946347445,7.9660460956669565,4.1887462928635655,1.5567258076852442
1990-10-31,19.178660714045037,26.774984172553353,31.734644403588675,22.452998863607,11.598386642375758
1990-11-30,45.30229557802017,36.161618201065004,25.214406110693677,21.624426869063328,14.00438668621703
1990-12-31,45.79821485719562,33.59469962323711,24.848185469769348,21.864194746260402,14.254560410664773
1991-01-31,45.84519710063134,32.44281999606648,24.72554072363734,22.031609120128927,14.050977903853113
1991-02-28,46.225791713262986,36.76790123275365,27.209082420703613,24.46020638036811,2.2862636768417266
1991-03-31,46.607731685391705,36.8034991025757,27.16303952683594,24.15332023559824,2.472927938963032
1991-04-30,44.3611368162025,37.0229701249005,26.888584135648152,24.8843213062404,3.3086359944222488
1991-05-31,42.16257943829302,36.77919806153555,26.794720340528897,24.908824397875804,2.9681835435196313
1991-06-30,43.60512646266886,38.6609934361462,29.324704866379214,26.003776410639155,2.102081211293494
1991-07-31,44.6950889182954,40.47289911893047,30.206108152570067,28.081678517710927,1.8270706105869006
1991-08-31,42.535105891310906,39.87840071960572,29.851512590464946,27.878147921321716,1.764937841441927
1991-09-30,42.9218632300242,39.816051233164785,27.277882486325723,27.49998433670199,1.6942497646320276
1991-10-31,42.62782791592531,38.64928415444189,25.685584117910853,27.148683080043913,1.8632655179137148
1991-11-30,41.92647555582989,39.690662599122874,27.865127553133394,25.237726662709512,1.9746059263728855
1991-12-31,38.89902008440595,39.08319090395358,27.56011922920876,25.065971732628157,1.5064764616120163
1992-01-31,37.40705809393769,38.53221979336476,27.183057702474034,24.523392961303458,2.0611857860934446
1992-02-29,36.97346664169013,38.10178568015723,26.989839265970005,22.847218166093608,2.320364679450715
1992-03-31,42.85902168504373,42.8186784982284,30.22921677908048,24.052417732157526,4.789372267931924
1992-04-30,42.15478717630005,40.57051464600192,25.3886746017555,26.619051494030533,12.727169936443083
