,S&P 500,FTSE 100,Nikkei 225,Hang Seng,NIFTY 50
1990-09-30,5.156283802458694,6.064496283460008,8.240962766196846,4.0967449842585495,1.7839044796927106
1990-10-31,15.032598540098741,25.31013740748905,36.57080928077108,21.0267792520331,13.799350315777836
1990-11-30,17.71265942519409,29.63907974417562,37.5042821985764,26.85411504426479,30.596997032848293
1990-12-31,17.486637499387413,26.978055571844315,38.82561206261557,27.236734235452275,29.832815737827634
1991-01-31,17.58919583510127,26.51255215573102,38.476697573264765,26.422678041624913,30.095021238595297
1991-02-28,19.1125607950534,28.467695088804824,36.516426972668306,34.839284198569075,18.013278368834484
1991-03-31,18.718135637302513,27.99245294981757,36.23593486978991,34.40736059633353,19.846634436121114
1991-04-30,20.566841266131576,28.4269548509254,36.04268297121439,33.44466114864035,17.984508140502086
1991-05-31,20.070016987116958,28.79201086249319,37.33533669580249,31.130276095408615,16.285865140931644
1991-06-30,23.521328195440162,32.57192056827171,38.69300586454871,28.001560908432054,16.90886685043431
1991-07-31,25.273082238345,34.83049822180436,35.09761116135822,28.958853701930522,21.122799994655615
1991-08-31,24.638952791769462,35.50507280210192,35.3296870114451,31.00268835715333,15.431704001675383
1991-09-30,24.298411844641954,34.90334258203887,33.37484957224104,30.798390696128443,15.835036355798449
1991-10-31,24.481480529610266,33.23169652652725,30.59971560143071,31.489119885455718,16.172632243211748
1991-11-30,28.636727334419387,38.78543124077412,29.296918091269575,27.566286947811292,12.409234682894187
1991-12-31,25.853947033073986,35.82834888794729,26.083880772727554,32.50803479817659,11.840566919883022
1992-01-31,25.1199120628117,35.04966836457677,25.70064785670573,31.320491564440754,12.516194488638465
1992-02-29,25.11680230517698,34.56678865326741,25.635980316963558,30.242187743067383,11.670915414886363
1992-03-31,27.31091768100934,35.512609754633594,28.561717681465826,26.591120040103434,26.77234180522987
1992-04-30,36.86372837602615,44.559500298464094,18.305450304165618,30.9251627964519,16.806356079423345
1992-05-31,29.976412943940154,42.89681947416225,19.71097846231369,31.677053278101408,19.020084693231563
1992-06-30,35.41861658093367,49.95534587758226,25.817537136570866,28.2537501914778,10.872828671476087
1992-07-31,32.69106310791942,47.06992457248479,24.604177294444273,27.07668309064114,9.461940353324005
1992-08-31,32.27200825513392,47.15483871133359,16.28929868132768,26.810000174729744,11.380862694185867
1992-09-30,30.96402190715467,39.78201824729989,17.31225147542048,24.044379576874242,11.703806473982992
1992-10-31,30.542685201963337,41.31453257632326,16.086004172543745,25.491915597717075,14.025945322257483
1992-11-30,30.517010098133724,38.535321399420866,15.621295003775648,18.383462673263796,14.215111601145447
1992-12-31,29.70678873165139,36.90674305955639,16.20885298144468,17.374384146944255,14.415838769185562
1993-01-31,29.539262354420835,36.01508993770185,16.25696881768356,17.144081267810265,14.401765594481386
1993-02-28,28.943794937148283,36.05773056442245,16.314204616569672,17.213637482096043,14.146018669881588
1993-03-31,28.41412409223436,34.79036648615551,16.499214440215237,15.23097128530334,14.758435391298164
1993-04-30,25.034433225223506,33.241579367947004,14.911460663477161,16.022598132515242,15.891676050610714
1993-05-31,24.913787106348583,33.07383891342938,14.515186195471852,15.811704015162553,15.207081532018485
1993-06-30,25.05797496697715,31.85977523736487,15.030053036937618,15.674326764008084,14.963229624588692
1993-07-31,25.059588154668276,31.598614322899763,14.142536403083106,15.52391009545958,14.961570399969803
